iter	Passed	Remaining
0	2	224
1	4	221
2	6	209
3	7	186
4	9	181
5	11	178
6	13	174
7	14	169
8	16	166
9	17	161
10	19	158
11	21	156
12	22	153
13	24	151
14	26	149
15	27	146
16	29	144
17	31	142
18	32	140
19	34	138
20	36	136
21	38	135
22	39	133
23	41	131
24	43	129
25	44	127
26	46	125
27	48	123
28	49	122
29	51	119
30	53	118
31	54	116
32	56	114
33	58	112
34	59	111
35	61	109
36	63	107
37	64	105
38	66	104
39	68	102
40	69	100
41	70	97
42	72	95
43	73	93
44	75	91
45	76	90
46	78	88
47	79	86
48	81	84
49	83	83
50	84	81
51	86	79
52	88	78
53	89	76
54	90	74
55	92	72
56	94	71
57	95	69
58	97	67
59	99	66
60	100	64
61	102	63
62	104	61
63	106	59
64	108	58
65	110	56
66	111	55
67	113	53
68	115	51
69	116	50
70	118	48
71	121	47
72	122	45
73	125	43
74	127	42
75	128	40
76	131	39
77	133	37
78	135	35
79	137	34
80	138	32
81	141	31
82	144	29
83	146	27
84	148	26
85	149	24
86	151	22
87	153	20
88	154	19
89	156	17
90	158	15
91	160	13
92	162	12
93	163	10
94	165	8
95	167	6
96	168	5
97	170	3
98	171	1
99	173	0
